vrad_min,vrad_max,vrad_step,n_samples,true_mean_mps,pred_mean_mps,bias_mps,std_mps,mae_mps,median_abs_err_mps,rmse_mps,min_residual_mps,max_residual_mps,pearson_r
-16.079999999999934,13.920000000000066,0.1,30,1.1368683772161604e-14,-1.5158245029548804e-14,-2.6526928801710407e-14,7.606629179060723,6.297436590889216,6.193724100334009,7.478777566252393,-14.58084134802641,14.265029243649792,0.7845877988484078
-16.069999999999933,13.930000000000067,0.1,30,-9.852859269206723e-14,-2.6526928801710407e-14,7.200166389035682e-14,7.835083479446591,6.493494533520319,6.166273374378591,7.703392025090873,-15.276500119521359,14.5095995122187,0.7831628781142448
-16.05999999999993,13.940000000000069,0.1,30,-1.8568850161197285e-13,2.6526928801710407e-14,2.1221543041368326e-13,8.243903984055406,6.802961796697556,6.299283176553331,8.10534110746614,-15.963365103386934,15.446320584911234,0.7826915423088967
-16.04999999999993,13.95000000000007,0.1,30,-1.3642420526593923e-13,0.0,1.3642420526593923e-13,8.40793545523714,6.91974947346702,6.295134032743476,8.266615550843806,-16.012132236741536,15.96805901706125,0.7790454895594777
-16.039999999999928,13.960000000000072,0.1,30,2.6526928801710407e-14,1.8947806286936004e-14,-7.579122514774402e-15,8.655637004541662,7.182043421759025,6.722828289886024,8.510153752385712,-17.7309156054543,16.69391975275056,0.7806782413630146
-16.029999999999927,13.970000000000073,0.1,30,-3.410605131648481e-14,0.0,3.410605131648481e-14,9.057025958304694,7.400943895285661,6.903933246413715,8.904796192825426,-20.16248240960124,17.363965491523118,0.7718566009306251
-16.019999999999925,13.980000000000075,0.1,30,-1.2505552149377764e-13,-7.579122514774402e-15,1.1747639897900324e-13,9.89065098431064,7.955115117705028,7.387060712468042,9.724409716292818,-22.55939682758003,18.78490627091071,0.762324942635999
-16.009999999999923,13.990000000000077,0.1,30,-2.2358411418584485e-13,1.1368683772161604e-14,2.349527979580065e-13,10.429937566936873,8.26752079010125,7.501694699206894,10.254632013316115,-23.420729849404722,19.65575740062826,0.7575064346021294
-15.999999999999922,14.000000000000078,0.1,30,-1.8947806286936004e-14,-9.473903143468002e-15,9.473903143468002e-15,11.04141738008158,8.813821229798016,8.004445107984424,10.855834122832848,-23.600222200743218,20.617939619926943,0.7614180947321512
-15.98999999999992,14.01000000000008,0.1,30,-7.579122514774402e-14,-1.3263464400855204e-14,6.252776074688882e-14,12.071232220723546,9.739506183062371,8.694745947077166,11.868339918276122,-24.61758040213195,22.74371514552908,0.761515812728604
