species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
Ni 1,3012.878933904926,3012.8787,3012.67,3013.22,0.01854732632637024,0.0050000000000000044,0.24742438,0.45019332,0.9814526736736298,0.995,-0.167,0.4228,2.0,4.5379,2.0,1.01,1.01,1.01,8.33,-6.11,-7.79,5982904973.121071,True
Fe 1,3013.3185546462187,3013.3193,3013.23,3013.51,0.08773398399353027,0.03200000000000003,0.45505264,0.7561221,0.9122660160064697,0.968,-1.135,2.4327,5.0,6.5472,5.0,1.04,1.17,1.1,7.75,-4.76,-7.51,18494326957.12493,True
Fe 1,3013.5889421030506,3013.5897,3013.52,3013.66,0.4800899028778076,0.29700000000000004,0.7532656,0.7953066,0.5199100971221924,0.703,-2.312,3.2657,2.0,7.3799,3.0,1.5,1.12,0.75,8.22,-4.56,-7.32,4240570838.5450497,True
Fe 1,3013.814431871168,3013.818,3013.67,3013.85,0.1775360107421875,0.08599999999999997,0.7983241,0.3151658,0.8224639892578125,0.914,-1.682,2.998,3.0,7.1119,3.0,1.91,1.33,1.62,7.64,-4.89,-7.29,9185314126.226337,True
Cr 1,3013.915821681929,3013.9069,3013.86,3013.94,0.11733090877532959,0.049000000000000044,0.3328556,0.15666081,0.8826690912246704,0.951,-1.07,0.961,0.0,5.0747,1.0,0.0,2.46,2.46,8.21,-5.36,-7.52,4345617004.165329,True
Ni 1,3013.955257984208,3013.9628,3013.95,3014.08,0.15169942378997803,0.548,0.16026504,0.85213864,0.848300576210022,0.452,-3.002,1.9859,0.0,6.0996,1.0,1.28,0.0,0.0,7.95,-4.26,-7.49,13277555763.467693,True
Zr 2,3014.199412119558,3014.201,3014.09,3014.23,0.6603089570999146,0.519,0.8488121,0.72634125,0.33969104290008545,0.481,-1.28,0.5586,2.5,4.6719,1.5,1.17,1.91,0.62,0.0,0.0,0.0,611109018.4659458,True
Fe 1,3014.3687401591947,3014.3694,3014.24,3014.41,0.22554683685302734,0.09199999999999997,0.73677546,0.4503747,0.7744531631469727,0.908,-1.465,3.2657,2.0,7.3788,2.0,1.5,1.79,1.65,7.73,-3.78,-7.12,8739450122.392298,True
Co 1,3014.4722694694433,3014.4713,3014.42,3014.52,0.17265009880065918,0.03700000000000003,0.46821132,0.43140268,0.8273499011993408,0.963,-1.81,0.0,4.5,4.113,3.5,1.33,1.04,1.85,8.14,-6.11,293.281,10228438706.868486,True
Cr 1,3014.5898905465647,3014.5901,3014.53,3014.67,0.08725094795227051,0.02400000000000002,0.4267947,0.516604,0.9127490520477295,0.976,-0.25,0.9684,1.0,5.0812,2.0,1.5,1.76,1.89,8.28,-5.38,371.281,18569431144.384293,True
